id,year,month,day
7472428,2009,1,6
7472429,2009,1,6
7472430,2009,1,6
7472431,2009,1,6
7472432,2009,1,6
7472433,2009,1,6
7472434,2009,1,6
7472435,2009,1,6
7472436,2009,1,6
7472437,2009,1,6
7472438,2009,1,6
7472439,2009,1,6
7472440,2009,1,6
7472441,2009,1,6
7472442,2009,1,6
7472443,2009,1,6
7472444,2009,1,6
7472445,2009,1,6
7472446,2009,1,6
7472447,2009,1,6
7472448,2009,1,6
7472449,2009,1,6
7472450,2009,1,6
7472451,2009,1,6
7472452,2009,1,6
7472453,2009,1,6
7472454,2009,1,6
7472455,2009,1,6
7472456,2009,1,6
7472457,2009,1,6
7472458,2009,1,6
7472459,2009,1,6
7472460,2009,1,6
7472461,2009,1,6
7472462,2009,1,6
7472463,2009,1,6
7472464,2009,1,6
7472465,2009,1,6
7472466,2009,1,6
7472467,2009,1,6
7472468,2009,1,6
7472469,2009,1,6
7472470,2009,1,6
7472471,2009,1,6
7472472,2009,1,6
7472473,2009,1,6
7472474,2009,1,6
7472475,2009,1,6
7472476,2009,1,6
7472477,2009,1,6
7472478,2009,1,6
7472479,2009,1,6
7472480,2009,1,6
7472481,2009,1,6
7472482,2009,1,6
7472483,2009,1,6
7472484,2009,1,6
7472485,2009,1,6
7472486,2009,1,6
7472487,2009,1,6
7472488,2009,1,6
7472489,2009,1,6
7472490,2009,1,6
7472491,2009,1,6
7472492,2009,1,6
7472493,2009,1,6
7472494,2009,1,6
7472495,2009,1,6
7472496,2009,1,6
7472497,2009,1,6
7472498,2009,1,6
7472499,2009,1,6
7472500,2009,1,6
7472501,2009,1,6
7472502,2009,1,6
7472503,2009,1,6
7472504,2009,1,6
7472505,2009,1,6
7472506,2009,1,6
7472507,2009,1,6
7472508,2009,1,6
7472509,2009,1,6
7472510,2009,1,6
7472511,2009,1,6
7472512,2009,1,6
7472513,2009,1,6
7472514,2009,1,6
7472515,2009,1,6
7472516,2009,1,6
7472517,2009,1,6
7472518,2009,1,6
7472519,2009,1,6
7472520,2009,1,6
7472521,2009,1,6
7472522,2009,1,6
7472523,2009,1,6
7472524,2009,1,6
7472525,2009,1,6
7472526,2009,1,6
7472527,2009,1,6
7472528,2009,1,6
7472529,2009,1,6
7472530,2009,1,6
7472531,2009,1,6
7472532,2009,1,6
7472533,2009,1,6
7472534,2009,1,6
7472535,2009,1,6
7472536,2009,1,6
7472537,2009,1,6
7472538,2009,1,6
7472539,2009,1,6
7472540,2009,1,6
7472541,2009,1,6
7472542,2009,1,6
7472543,2009,1,6
7472544,2009,1,6
7472545,2009,1,6
7472546,2009,1,6
7472547,2009,1,6
7472548,2009,1,6
7472549,2009,1,6
7472550,2009,1,6
7472551,2009,1,6
7472552,2009,1,6
7472553,2009,1,6
7472554,2009,1,6
7472555,2009,1,6
7472556,2009,1,6
7472557,2009,1,6
7472558,2009,1,6
7472559,2009,1,6
7472560,2009,1,6
7472561,2009,1,6
7472562,2009,1,6
7472563,2009,1,6
7472564,2009,1,6
7472565,2009,1,6
7472567,2009,1,6
7472568,2009,1,6
7472569,2009,1,6
7472570,2009,1,6
7472571,2009,1,6
7472572,2009,1,6
7472573,2009,1,6
7472574,2009,1,6
7472575,2009,1,6
7472576,2009,1,6
7472577,2009,1,6
7472578,2009,1,6
7472579,2009,1,6
7472580,2009,1,6
7472581,2009,1,6
7472582,2009,1,6
7472583,2009,1,6
7472584,2009,1,6
7472585,2009,1,6
7472586,2009,1,6
7472587,2009,1,6
7472588,2009,1,6
7472589,2009,1,6
7472590,2009,1,6
7472591,2009,1,6
7472592,2009,1,6
7472593,2009,1,6
7472594,2009,1,6
7472595,2009,1,6
7472596,2009,1,6
7472597,2009,1,6
7472598,2009,1,6
7472599,2009,1,6
7472600,2009,1,6
7472601,2009,1,6
