id,year,month,day
9532496,2017,1,3
9532497,2017,1,3
9532498,2017,1,3
9532499,2017,1,3
9532500,2017,1,3
9532501,2017,1,3
9532502,2017,1,3
9532503,2017,1,3
9532504,2017,1,3
9532505,2017,1,3
9532506,2017,1,3
9532507,2017,1,3
9532508,2017,1,3
9532509,2017,1,3
9532510,2017,1,3
9532511,2017,1,3
9532512,2017,1,3
9532513,2017,1,3
9532514,2017,1,3
9532515,2017,1,3
9532516,2017,1,3
9532517,2017,1,3
9532518,2017,1,3
9532519,2017,1,3
9532520,2017,1,3
9532521,2017,1,3
9532522,2017,1,3
9532523,2017,1,3
9532524,2017,1,3
9532525,2017,1,3
9532526,2017,1,3
9532527,2017,1,3
9532528,2017,1,3
9532529,2017,1,3
9532530,2017,1,3
9532531,2017,1,3
9532532,2017,1,3
9532533,2017,1,3
9532534,2017,1,3
9532535,2017,1,3
9532536,2017,1,3
9532537,2017,1,3
9532538,2017,1,3
9532539,2017,1,3
9532540,2017,1,3
9532541,2017,1,3
9532542,2017,1,3
9532543,2017,1,3
9532544,2017,1,3
9532545,2017,1,3
9532546,2017,1,3
9532547,2017,1,3
9532548,2017,1,3
9532549,2017,1,3
9532550,2017,1,3
9532551,2017,1,3
9532552,2017,1,3
9532553,2017,1,3
9532554,2017,1,3
9532555,2017,1,3
9532556,2017,1,3
9532557,2017,1,3
9532558,2017,1,3
9532559,2017,1,3
9532560,2017,1,3
9532561,2017,1,3
9532562,2017,1,3
9532563,2017,1,3
9532564,2017,1,3
9532565,2017,1,3
9532566,2017,1,3
9532567,2017,1,3
9532568,2017,1,3
9532569,2017,1,3
9532570,2017,1,3
9532571,2017,1,3
9532572,2017,1,3
9532573,2017,1,3
9532574,2017,1,3
9532575,2017,1,3
9532576,2017,1,3
9532577,2017,1,3
9532578,2017,1,3
9532579,2017,1,3
9532580,2017,1,3
9532581,2017,1,3
9532582,2017,1,3
9532583,2017,1,3
9532584,2017,1,3
9532585,2017,1,3
9532586,2017,1,3
9532587,2017,1,3
9532588,2017,1,3
9532589,2017,1,3
9532590,2017,1,3
9532591,2017,1,3
9532592,2017,1,3
9532593,2017,1,3
9532594,2017,1,3
9532595,2017,1,3
9532596,2017,1,3
9532597,2017,1,3
9532598,2017,1,3
9532599,2017,1,3
9532600,2017,1,3
9532601,2017,1,3
9532602,2017,1,3
9532603,2017,1,3
9532604,2017,1,3
9532605,2017,1,3
9532606,2017,1,3
9532607,2017,1,3
9532608,2017,1,3
9532609,2017,1,3
9532610,2017,1,3
9532611,2017,1,3
9532612,2017,1,3
9532613,2017,1,3
9532614,2017,1,3
9532615,2017,1,3
9532616,2017,1,3
9532617,2017,1,3
9532618,2017,1,3
9532619,2017,1,3
9532620,2017,1,3
9532621,2017,1,3
9532622,2017,1,3
9532623,2017,1,3
9532624,2017,1,3
9532625,2017,1,3
9532626,2017,1,3
9532627,2017,1,3
9532628,2017,1,3
9532629,2017,1,3
9532630,2017,1,3
9532631,2017,1,3
9532632,2017,1,3
9532633,2017,1,3
9532634,2017,1,3
9532635,2017,1,3
9532636,2017,1,3
9532637,2017,1,3
9532638,2017,1,3
9532639,2017,1,3
9532640,2017,1,3
9532641,2017,1,3
9532642,2017,1,3
9532643,2017,1,3
9532644,2017,1,3
9532645,2017,1,3
9532646,2017,1,3
9532647,2017,1,3
9532648,2017,1,3
9532649,2017,1,3
9532650,2017,1,3
9532651,2017,1,3
9532652,2017,1,3
