id,year,month,day
7640598,2010,1,5
7640599,2010,1,5
7640600,2010,1,5
7640601,2010,1,5
7640602,2010,1,5
7640603,2010,1,5
7640604,2010,1,5
7640605,2010,1,5
7640606,2010,1,5
7640607,2010,1,5
7640608,2010,1,5
7640609,2010,1,5
7640610,2010,1,5
7640611,2010,1,5
7640612,2010,1,5
7640613,2010,1,5
7640614,2010,1,5
7640615,2010,1,5
7640616,2010,1,5
7640617,2010,1,5
7640618,2010,1,5
7640619,2010,1,5
7640620,2010,1,5
7640621,2010,1,5
7640622,2010,1,5
7640623,2010,1,5
7640624,2010,1,5
7640625,2010,1,5
7640626,2010,1,5
7640627,2010,1,5
7640628,2010,1,5
7640629,2010,1,5
7640630,2010,1,5
7640632,2010,1,5
7640633,2010,1,5
7640634,2010,1,5
7640635,2010,1,5
7640636,2010,1,5
7640637,2010,1,5
7640638,2010,1,5
7640639,2010,1,5
7640640,2010,1,5
7640641,2010,1,5
7640642,2010,1,5
7640643,2010,1,5
7640644,2010,1,5
7640645,2010,1,5
7640646,2010,1,5
7640647,2010,1,5
7640648,2010,1,5
7640649,2010,1,5
7640650,2010,1,5
7640651,2010,1,5
7640652,2010,1,5
7640653,2010,1,5
7640654,2010,1,5
7640655,2010,1,5
7640656,2010,1,5
7640657,2010,1,5
7640658,2010,1,5
7640659,2010,1,5
7640660,2010,1,5
7640661,2010,1,5
7640662,2010,1,5
7640663,2010,1,5
7640664,2010,1,5
7640665,2010,1,5
7640666,2010,1,5
7640667,2010,1,5
7640668,2010,1,5
7640669,2010,1,5
7640670,2010,1,5
7640671,2010,1,5
7640672,2010,1,5
7640673,2010,1,5
7640674,2010,1,5
7640675,2010,1,5
7640676,2010,1,5
7640677,2010,1,5
7640678,2010,1,5
7640679,2010,1,5
7640680,2010,1,5
7640681,2010,1,5
7640682,2010,1,5
7640683,2010,1,5
7640684,2010,1,5
7640685,2010,1,5
7640686,2010,1,5
7640687,2010,1,5
7640688,2010,1,5
7640689,2010,1,5
7640690,2010,1,5
7640691,2010,1,5
7640692,2010,1,5
7640693,2010,1,5
7640694,2010,1,5
7640695,2010,1,5
7640696,2010,1,5
7640697,2010,1,5
7640698,2010,1,5
7640699,2010,1,5
7640700,2010,1,5
7640701,2010,1,5
7640702,2010,1,5
7640703,2010,1,5
7640704,2010,1,5
7640705,2010,1,5
7640706,2010,1,5
7640707,2010,1,5
7640708,2010,1,5
7640709,2010,1,5
7640710,2010,1,5
7640711,2010,1,5
7640712,2010,1,5
7640713,2010,1,5
7640714,2010,1,5
7640715,2010,1,5
7640716,2010,1,5
7640717,2010,1,5
7640718,2010,1,5
7640719,2010,1,5
7640720,2010,1,5
7640721,2010,1,5
7640722,2010,1,5
7640723,2010,1,5
7640724,2010,1,5
7640725,2010,1,5
7640726,2010,1,5
7640727,2010,1,5
7640728,2010,1,5
7640729,2010,1,5
7640730,2010,1,5
7640731,2010,1,5
7640732,2010,1,5
7640733,2010,1,5
7640734,2010,1,5
7640735,2010,1,5
7640736,2010,1,5
7640737,2010,1,5
7640738,2010,1,5
7640739,2010,1,5
7640740,2010,1,5
7640741,2010,1,5
7640742,2010,1,5
7640743,2010,1,5
7640744,2010,1,5
7640745,2010,1,5
7640746,2010,1,5
7640747,2010,1,5
7640748,2010,1,5
7640749,2010,1,5
7640750,2010,1,5
7640751,2010,1,5
7640752,2010,1,5
7640753,2010,1,5
7640754,2010,1,5
7640755,2010,1,5
7640756,2010,1,5
7640757,2010,1,5
7640758,2010,1,5
7640759,2010,1,5
7640760,2010,1,5
7640761,2010,1,5
7640762,2010,1,5
7640763,2010,1,5
7640764,2010,1,5
7640765,2010,1,5
7640766,2010,1,5
7640767,2010,1,5
7640768,2010,1,5
7640769,2010,1,5
7640770,2010,1,5
7640771,2010,1,5
7640772,2010,1,5
7640773,2010,1,5
7640774,2010,1,5
7640775,2010,1,5
7640776,2010,1,5
7640777,2010,1,5
7640778,2010,1,5
7640779,2010,1,5
7640780,2010,1,5
7640781,2010,1,5
7640782,2010,1,5
7640783,2010,1,5
7640784,2010,1,5
7640785,2010,1,5
7640786,2010,1,5
7640787,2010,1,5
7640788,2010,1,5
7640789,2010,1,5
7640790,2010,1,5
7640791,2010,1,5
7640792,2010,1,5
7640793,2010,1,5
7640794,2010,1,5
7640795,2010,1,5
7640796,2010,1,5
7640797,2010,1,5
7640798,2010,1,5
7640799,2010,1,5
7640800,2010,1,5
7640801,2010,1,5
7640802,2010,1,5
7640803,2010,1,5
7640804,2010,1,5
7640805,2010,1,5
7640806,2010,1,5
7640807,2010,1,5
7640808,2010,1,5
7640809,2010,1,5
7640810,2010,1,5
7640811,2010,1,5
7640812,2010,1,5
7640813,2010,1,5
7640814,2010,1,5
7640815,2010,1,5
7640816,2010,1,5
7640817,2010,1,5
7640818,2010,1,5
7640819,2010,1,5
7640820,2010,1,5
7640821,2010,1,5
7640822,2010,1,5
7640823,2010,1,5
7640824,2010,1,5
7640825,2010,1,5
7640826,2010,1,5
7640827,2010,1,5
7640828,2010,1,5
7640829,2010,1,5
7640830,2010,1,5
7640831,2010,1,5
7640832,2010,1,5
7640833,2010,1,5
7640834,2010,1,5
7640835,2010,1,5
7640836,2010,1,5
7640837,2010,1,5
